moisture,date,humidty,temperature
1,21/08/2018 13:30,51.08,22.58
0,21/08/2018 13:30,51.01,22.58
10,21/08/2018 13:30,50.84,22.58
0,21/08/2018 13:30,50.84,22.58
0,21/08/2018 13:30,50.76,22.6
1,21/08/2018 13:30,50.81,22.61
0,21/08/2018 13:30,51.56,22.65
0,21/08/2018 13:30,53.36,22.67
0,21/08/2018 13:30,54.77,22.71
0,21/08/2018 13:30,55.93,22.75
0,21/08/2018 13:31,56.95,22.77
0,21/08/2018 13:31,56.89,22.77
17,21/08/2018 13:31,56.07,22.77
0,21/08/2018 13:31,55.11,22.78
0,21/08/2018 13:31,54.21,22.78
7,21/08/2018 13:31,53.33,22.78
23,21/08/2018 13:31,52.67,22.76
0,21/08/2018 13:31,52.17,22.75
0,21/08/2018 13:31,51.68,22.75
0,21/08/2018 13:31,51.5,22.76
0,21/08/2018 13:31,52.05,22.8
0,23/08/2018 07:49,61.45,20.09
0,23/08/2018 07:49,61.48,20.11
0,23/08/2018 07:49,61.45,20.1
0,23/08/2018 07:49,61.45,20.09
0,23/08/2018 07:49,61.4,20.09
0,23/08/2018 07:49,61.4,20.09
0,23/08/2018 07:49,61.19,20.09
0,23/08/2018 07:50,61.14,20.09
0,23/08/2018 07:50,61.14,20.09
1,23/08/2018 07:50,61.14,20.09
0,23/08/2018 07:50,61.25,20.09
0,23/08/2018 07:50,61.25,20.09
0,23/08/2018 07:50,60.93,20.04
0,23/08/2018 07:50,60.85,20.04
0,23/08/2018 07:50,60.93,20.04
0,23/08/2018 07:50,61.08,20.04
0,23/08/2018 07:50,61.17,20.04
0,23/08/2018 07:50,61.17,20.03
0,23/08/2018 07:50,61.08,20.02
0,23/08/2018 07:50,60.99,20.02
0,23/08/2018 07:50,60.99,20.01
0,23/08/2018 07:50,60.99,20.01
0,23/08/2018 07:50,60.93,20
0,23/08/2018 07:50,60.93,20
0,23/08/2018 07:50,60.96,19.99
0,23/08/2018 07:50,60.99,19.99
0,23/08/2018 07:50,61.05,19.99
0,23/08/2018 07:50,61.08,19.98
0,23/08/2018 07:50,61.08,19.97
0,23/08/2018 07:50,61.11,19.97
0,23/08/2018 07:50,61.11,19.97
0,23/08/2018 07:50,61.17,19.96
0,23/08/2018 07:50,61.17,19.95
0,23/08/2018 07:50,61.2,19.95
0,23/08/2018 07:50,61.22,19.92
0,23/08/2018 07:50,61.22,19.91
0,23/08/2018 07:50,61.22,19.9
0,23/08/2018 07:50,61.2,19.89
0,23/08/2018 07:50,61.28,19.89
0,23/08/2018 07:50,61.31,19.88
0,23/08/2018 07:50,61.31,19.87
0,23/08/2018 07:50,61.28,19.86
0,23/08/2018 07:50,61.31,19.86
1,23/08/2018 07:50,61.34,19.85
0,23/08/2018 07:50,61.34,19.85
0,23/08/2018 07:50,61.31,19.85
1,23/08/2018 07:50,61.31,19.83
1,23/08/2018 07:50,61.34,19.83
0,23/08/2018 07:50,61.34,19.81
0,23/08/2018 07:50,61.28,19.81
0,23/08/2018 07:50,61.2,19.8
0,23/08/2018 07:51,61.17,19.77
0,23/08/2018 07:51,61.2,19.77
0,23/08/2018 07:51,61.17,19.75
0,23/08/2018 07:51,61.15,19.74
0,23/08/2018 07:51,61.12,19.73
0,23/08/2018 07:51,61.09,19.72
0,23/08/2018 07:51,60.86,19.7
0,23/08/2018 07:51,60.65,19.68
0,23/08/2018 07:51,60.45,19.66
0,23/08/2018 07:51,60.42,19.63
0,23/08/2018 07:51,60.31,19.61
0,23/08/2018 07:51,60.22,19.61
0,23/08/2018 07:51,60.19,19.6
0,23/08/2018 07:51,60.22,19.58
0,23/08/2018 07:51,60.28,19.58
0,23/08/2018 07:51,60.42,19.57
0,23/08/2018 07:51,60.63,19.56
0,23/08/2018 07:51,60.77,19.56
0,23/08/2018 07:51,60.94,19.56
0,23/08/2018 07:51,61.09,19.56
0,23/08/2018 07:51,61.26,19.56
0,23/08/2018 07:51,61.67,19.57
2,23/08/2018 07:51,62.07,19.57
0,23/08/2018 07:51,61.92,19.56
0,23/08/2018 07:51,61.72,19.56
0,23/08/2018 07:51,61.58,19.56
0,23/08/2018 07:51,61.26,19.56
4,23/08/2018 07:51,61.23,19.56
0,23/08/2018 07:51,61.18,19.55
